,COR,SALV,COUSO,GROVE,ONS,CIESN,CIESS,SIL,VP,ESPO,FIG,BER,ERI,AVE,SES,SIN
COR,0,14.46039884,36.09169814,18.17098297,25.33932977,43.25984251,46.84388434,57.59588846,107.9390791,122.2737509,272.5978495,373.449284,416.2952876,460.3267746,497.0636869,578.2831761
SALV,14.46039884,0,21.63700985,6.358447487,10.88464149,28.80515423,32.38919606,43.14120018,93.48439082,107.8190626,258.1431612,366.4813486,409.3159594,453.3588392,490.0957515,571.3152408
COUSO,36.09169814,21.63700985,0,17.92071516,10.75236836,7.168144374,10.75218621,21.50419033,71.84738097,86.1820528,236.5061513,352.4106857,395.2282498,439.2881763,476.0250886,557.2445778
GROVE,18.17098297,6.358447487,17.92071516,0,7.168346802,25.08885954,28.67290137,39.42490549,89.76809613,104.102768,254.4268665,370.2175858,413.0493519,457.0950764,493.8319887,575.0514779
ONS,25.33932977,10.88464149,10.75236836,7.168346802,0,17.92051274,21.50455457,32.25655869,82.59974933,96.93442116,247.2585197,363.0947991,405.9208801,449.9722897,486.709202,567.9286912
CIESN,43.25984251,28.80515423,7.168144374,25.08885954,17.92051274,0,3.584041834,14.33604595,64.67923659,79.01390842,229.338007,345.2879877,388.099881,432.1654782,468.9023906,550.1218798
CIESS,46.84388434,32.38919606,10.75218621,28.67290137,21.50455457,3.584041834,0,10.75200412,61.09519476,75.42986659,225.7539651,341.7266518,384.5357119,428.6041424,465.3410548,546.560544
SIL,57.59588846,43.14120018,21.50419033,39.42490549,32.25655869,14.33604595,10.75200412,0,50.34319064,64.67786247,215.001961,331.0426971,373.843266,417.9201876,454.6571,535.8765892
VP,107.9390791,93.48439082,71.84738097,89.76809613,82.59974933,64.67923659,61.09519476,50.34319064,0,14.33467183,172.1964231,288.5533481,331.3144646,375.4308387,412.167751,493.3872402
ESPO,122.2737509,107.8190626,86.1820528,104.102768,96.93442116,79.01390842,75.42986659,64.67786247,14.33467183,0,157.8730176,274.3198626,317.0697597,361.1973532,397.9342655,479.1537548
FIG,272.5978495,258.1431612,236.5061513,254.4268665,247.2585197,229.338007,225.7539651,215.001961,172.1964231,157.8730176,0,117.3794526,160.012996,204.2569431,240.9938555,322.2133447
BER,373.449284,366.4813486,352.4106857,370.2175858,363.0947991,345.2879877,341.7266518,331.0426971,288.5533481,274.3198626,117.3794526,0,50.5487865,86.87749059,123.6144029,204.8338922
ERI,416.2952876,409.3159594,395.2282498,413.0493519,405.9208801,388.099881,384.5357119,373.843266,331.3144646,317.0697597,160.012996,50.5487865,0,44.3253858,81.06229812,162.2817874
AVE,460.3267746,453.3588392,439.2881763,457.0950764,449.9722897,432.1654782,428.6041424,417.9201876,375.4308387,361.1973532,204.2569431,86.87749059,44.3253858,0,36.73691232,117.9564016
SES,497.0636869,490.0957515,476.0250886,493.8319887,486.709202,468.9023906,465.3410548,454.6571,412.167751,397.9342655,240.9938555,123.6144029,81.06229812,36.73691232,0,81.21948924
SIN,578.2831761,571.3152408,557.2445778,575.0514779,567.9286912,550.1218798,546.560544,535.8765892,493.3872402,479.1537548,322.2133447,204.8338922,162.2817874,117.9564016,81.21948924,0
